epsilon,sigma,cutoff_nm,stable,violations,loss,density_kg_m3,dhvap_kj_mol
3.5,0.3,1.1159,False,min_image,,,
3.5,0.31,1.1159,True,,0.3197332016340803,1622.3673925158525,59.128513372958615
3.5,0.32,1.1159,True,,0.27043136703155596,1511.9429389838183,60.116207862309786
3.5,0.33,1.1159,True,,0.22594902912284187,1405.8052079368856,60.53674421573987
3.5,0.34,1.1159,True,,0.18563765155792844,1317.3420970213103,61.47628914320467
3.5,0.35,1.1159,True,,0.16849411136155493,1233.138302135284,62.16084740423226
3.5,0.36,1.1159,True,,0.19441599926790398,1158.2927606301398,62.85544800502889
3.5,0.37,1.1159,True,,0.21823657522072049,1088.5356314013902,63.564523683695285
3.5,0.38,1.1159,True,,0.23965601388489044,1025.5651858127483,64.21983377161484
3.5,0.39,1.1159,True,,0.26015942352168087,967.4804059416734,64.6885588695529
3.5,0.4,1.1159,True,,0.2769081597389221,915.519354565532,65.39780292381036
3.5,0.41,1.1159,True,,0.2942205159921262,865.6028827426172,65.85661630432642
3.5,0.42,1.1159,True,,0.30852182881028717,820.8222949724582,66.49204301595742
3.5,0.43,1.1159,True,,0.32285011269516584,779.9287089914883,66.84147615331848
3.5,0.44,1.1159,True,,0.33794799080899124,738.7856726525857,67.06888190656422
3.5,0.45,1.1159,True,,0.34999181984927363,702.8606201007868,67.47479105287117
3.75,0.3,1.1159,False,min_image,,,
3.75,0.31,1.1159,True,,0.3006378495586211,1654.2851480296633,64.91196960561652
3.75,0.32,1.1159,True,,0.24964726336396198,1537.0118552527872,65.71174958397286
3.75,0.33,1.1159,True,,0.20450807133567828,1437.0896222994907,66.70130122451434
3.75,0.34,1.1159,True,,0.16382556956623517,1344.4029160178227,67.40296547246543
3.75,0.35,1.1159,True,,0.12491949724436374,1258.871738248507,68.2987648046203
3.75,0.36,1.1159,True,,0.14991027019591371,1183.4317884651377,69.13758579070772
3.75,0.37,1.1159,True,,0.1752229056671723,1112.3318024830614,69.67221404686566
3.75,0.38,1.1159,True,,0.193866752393634,1051.5245935214043,70.67624946673641
3.75,0.39,1.1159,True,,0.21374456701369368,992.3472875684092,71.3378378429823
3.75,0.4,1.1159,True,,0.23206376297980613,938.4486032130544,71.90137631028499
3.75,0.41,1.1159,True,,0.25133328146184447,885.4160162085974,72.22932507290938
3.75,0.42,1.1159,True,,0.266073165008345,839.8846328358284,72.83922498241924
3.75,0.43,1.1159,True,,0.2813467658614731,795.9327292538916,73.23776976220734
3.75,0.44,1.1159,True,,0.2920573343677618,758.4869928673404,73.99629913193323
3.75,0.45,1.1159,True,,0.3053729169529644,722.0867169582813,74.20511445848642
4.0,0.3,1.1159,False,min_image,,,
4.0,0.31,1.1159,True,,0.2809804159860765,1689.2441206039528,71.01764739205959
4.0,0.32,1.1159,True,,0.22916057672080303,1569.6379498319113,71.79965157424544
4.0,0.33,1.1159,True,,0.18226912959292632,1464.0492021768175,72.69834501778288
4.0,0.34,1.1159,True,,0.14054691961787819,1371.1790394529912,73.57596968089884
4.0,0.35,1.1159,True,,0.10099847017088535,1284.6612446916731,74.51733537974299
4.0,0.36,1.1159,True,,0.10644649912743086,1206.9536810976867,75.3470288149666
4.0,0.37,1.1159,True,,0.12995033752899748,1136.7674171014849,76.14478320081344
4.0,0.38,1.1159,True,,0.15188396111635485,1071.7834494920921,76.85211756396552
4.0,0.39,1.1159,True,,0.17316879873872948,1010.6379169492257,77.39995818900806
4.0,0.4,1.1159,True,,0.18898201043032326,958.5553426613698,78.288255520797
4.0,0.41,1.1159,True,,0.20433073202425878,908.471220793382,79.11657386297257
4.0,0.42,1.1159,True,,0.22017035838152402,861.8650874817575,79.60404010129504
4.0,0.43,1.1159,True,,0.2336667187017414,820.0345671386607,80.17263684534686
