epsilon,sigma,loss,loss_sd,n_stable,crash_frac,violations
0.88462,0.31538,0.858033,0.041889,5,0.0,
0.88462,0.31846,0.764492,0.035381,5,0.0,
0.88462,0.32154,0.683298,0.051905,5,0.0,
0.88462,0.32462,0.587457,0.044756,5,0.0,
0.88462,0.32769,0.489839,0.037802,5,0.0,
0.88462,0.33077,0.375617,0.030967,5,0.0,
0.88462,0.33385,0.241704,0.021918,5,0.0,
0.88462,0.33692,0.193625,0.019766,5,0.0,
0.88462,0.34,0.293776,0.019488,5,0.0,
0.88462,0.34308,0.36294,0.019173,5,0.0,
0.88462,0.34615,0.498794,0.022958,5,0.0,
0.88462,0.34923,0.508658,0.193763,5,0.0,
0.88462,0.35231,0.33253,0.020548,5,0.0,
0.88462,0.35538,0.468971,0.013922,5,0.0,
0.88462,0.35846,0.66401,0.010521,5,0.0,
0.88462,0.36154,0.88378,0.010844,5,0.0,
0.88462,0.36462,1.163944,0.007206,5,0.0,
0.88462,0.36769,1.494757,0.007191,5,0.0,
0.88462,0.37077,1.883989,0.013085,5,0.0,
0.88462,0.37385,2.330846,0.007506,5,0.0,
0.88462,0.37692,2.850443,0.003475,5,0.0,
0.88462,0.38,3.437811,0.007477,5,0.0,
0.88462,0.38308,4.116963,0.004764,5,0.0,
0.88462,0.38615,4.89685,0.004849,5,0.0,
0.88462,0.38923,5.786756,0.005808,5,0.0,
0.88462,0.39231,6.793216,0.00523,5,0.0,
0.88462,0.39538,7.931464,0.004983,5,0.0,
0.88462,0.39846,9.199263,0.006275,5,0.0,
0.88462,0.40154,10.620505,0.006008,5,0.0,
0.88462,0.40462,12.201542,0.006083,5,0.0,
0.88462,0.40769,13.961865,0.003735,5,0.0,
0.88462,0.41077,15.913347,0.00306,5,0.0,
0.88462,0.41385,18.081134,0.0056,5,0.0,
0.88462,0.41692,20.460135,0.002725,5,0.0,
0.88462,0.42,23.092928,0.006992,5,0.0,
0.92308,0.3,1.082672,0.047869,5,0.0,
